"series","o","h","l","c","v"
"20100629T","1.2667","1.6667","1.1693","1.5927","281267109"
"20100630T","1.7193","2.0279","1.5533","1.5887","257478021"
"20100701T","1.6667","1.728","1.3513","1.464","123251773"
"20100702T","1.5333","1.54","1.2473","1.28","77036886"
"20100706T","1.3333","1.3333","1.0553","1.074","102871329"
"20100707T","1.0933","1.1087","0.9987","1.0533","103660433"
"20100708T","1.076","1.168","1.038","1.164","115663997"
"20100709T","1.172","1.1933","1.1033","1.16","60728025"
"20100712T","1.1967","1.2047","1.1333","1.1367","32983034"
"20100713T","1.1596","1.2427","1.1267","1.2093","40125880"
"20100714T","1.196","1.3433","1.184","1.3227","62898119"
"20100715T","1.3293","1.4333","1.2667","1.326","56122862"
"20100716T","1.38","1.42","1.3367","1.376","39301630"
"20100719T","1.4247","1.4833","1.3947","1.4607","37240181"
"20100720T","1.4567","1.4567","1.3367","1.3533","27362296"
"20100721T","1.3773","1.3933","1.3","1.348","18772371"
"20100722T","1.3667","1.4167","1.358","1.4","14359058"
"20100723T","1.4127","1.4373","1.404","1.4193","9803230"
"20100726T","1.4333","1.4333","1.3533","1.3967","13832663"
"20100727T","1.394","1.412","1.3507","1.37","9295120"
"20100728T","1.37","1.3933","1.3673","1.3813","7007741"
"20100729T","1.3847","1.392","1.3333","1.3567","9238645"
"20100730T","1.3467","1.3627","1.3033","1.3293","6402447"
"20100802T","1.3667","1.398","1.3555","1.3947","10773670"
"20100803T","1.4","1.4633","1.388","1.4633","18455226"
"20100804T","1.4633","1.4787","1.39","1.4173","13687883"
"20100805T","1.436","1.4367","1.3367","1.3633","11942694"
"20100806T","1.34","1.344","1.3013","1.306","11127564"
"20100809T","1.3267","1.332","1.2967","1.3067","12189834"
"20100810T","1.31","1.31","1.2547","1.2687","19219280"
"20100811T","1.246","1.2587","1.19","1.1933","11935674"
"20100812T","1.1867","1.1933","1.1593","1.1733","10353610"
"20100813T","1.212","1.23","1.1774","1.2213","9508060"
"20100816T","1.23","1.2533","1.2174","1.252","7285661"
"20100817T","1.264","1.2933","1.252","1.2767","6718212"
"20100818T","1.306","1.306","1.24","1.2513","8995976"
"20100819T","1.236","1.2833","1.222","1.2527","8686226"
"20100820T","1.2433","1.274","1.234","1.2733","4433983"
"20100823T","1.2727","1.3593","1.2667","1.342","16320427"
"20100824T","1.2833","1.314","1.2633","1.28","10094605"
"20100825T","1.2773","1.332","1.2373","1.3267","7549331"
"20100826T","1.326","1.3513","1.3067","1.3167","6499287"
"20100827T","1.3167","1.3243","1.3","1.3133","5693127"
"20100830T","1.3133","1.346","1.3073","1.3247","10989460"
"20100831T","1.3107","1.3193","1.2887","1.2987","3015178"
"20100901T","1.308","1.3793","1.3067","1.3633","7423271"
"20100902T","1.358","1.416","1.354","1.404","7305896"
"20100903T","1.3913","1.42","1.3773","1.4033","6518337"
"20100907T","1.374","1.4","1.3667","1.3693","3650023"
"20100908T","1.3773","1.3967","1.3733","1.3933","4325728"
"20100909T","1.4","1.4033","1.3793","1.3807","5642952"
"20100910T","1.3833","1.3953","1.3173","1.3447","5798562"
"20100913T","1.3927","1.3933","1.3667","1.3813","5410542"
"20100914T","1.3693","1.44","1.3687","1.408","9819430"
"20100915T","1.3987","1.4667","1.386","1.4653","10268365"
"20100916T","1.4767","1.544","1.3893","1.396","40261180"
"20100917T","1.4013","1.4213","1.32","1.3487","17976861"
"20100920T","1.378","1.4233","1.344","1.4037","14212118"
"20100921T","1.3927","1.4367","1.378","1.3847","11939994"
"20100922T","1.3913","1.3967","1.32","1.3247","14442233"
"20100923T","1.326","1.3427","1.3","1.304","10021135"
"20100924T","1.33","1.346","1.31","1.34","8683301"
"20100927T","1.36","1.3873","1.3367","1.3687","6244452"
"20100928T","1.4027","1.4327","1.384","1.4267","18216966"
"20100929T","1.4127","1.4687","1.4087","1.4653","29536440"
"20100930T","1.4667","1.4767","1.346","1.3603","31163039"
"20101001T","1.3793","1.3833","1.354","1.3733","8964611"
"20101004T","1.362","1.4113","1.3533","1.3993","9653980"
"20101005T","1.41","1.4187","1.4007","1.408","4979038"
"20101006T","1.404","1.4172","1.3547","1.364","4700353"
"20101007T","1.3713","1.376","1.356","1.362","2113799"
"20101008T","1.362","1.386","1.3593","1.362","3995983"
"20101011T","1.3627","1.3799","1.338","1.3493","2564909"
"20101012T","1.3467","1.3522","1.3353","1.3493","3658678"
"20101013T","1.376","1.39","1.3573","1.3693","4728883"
"20101014T","1.4","1.402","1.36","1.3833","4419298"
"20101015T","1.3927","1.3933","1.35","1.3693","4269673"
"20101018T","1.368","1.376","1.348","1.3487","2440934"
"20101019T","1.3467","1.3604","1.3333","1.3367","3676903"
"20101020T","1.344","1.3793","1.336","1.3767","4686658"
"20101021T","1.374","1.3967","1.3633","1.3833","6248982"
"20101022T","1.3787","1.3953","1.37","1.3813","2415314"
"20101025T","1.396","1.3987","1.382","1.39","1776209"
"20101026T","1.3867","1.458","1.3673","1.424","9912610"
"20101027T","1.4167","1.4253","1.3767","1.4","5347497"
"20101028T","1.426","1.4333","1.3973","1.4127","3362848"
"20101029T","1.4093","1.4567","1.4035","1.456","4207978"
"20101101T","1.4627","1.5167","1.4207","1.4273","6829257"
"20101102T","1.4453","1.4586","1.4033","1.4167","4836973"
"20101103T","1.4187","1.5","1.4107","1.4513","5588982"
"20101104T","1.5067","1.6887","1.4767","1.66","28100356"
"20101105T","1.658","1.6647","1.5813","1.6293","15164182"
"20101108T","1.6333","1.6667","1.602","1.6653","7640621"
"20101109T","1.6667","1.7127","1.6033","1.642","14343728"
"20101110T","1.632","1.998","1.6033","1.9573","45903757"
"20101111T","1.9067","1.94","1.822","1.869","29171895"
"20101112T","1.8833","2.0333","1.8713","1.9893","40922380"
"20101115T","2.0147","2.196","2.0147","2.0533","39343450"
"20101116T","2.0667","2.0933","1.8947","1.978","20212955"
"20101117T","2.0133","2.05","1.9073","1.966","11249109"
"20101118T","2.0447","2.0493","1.928","1.9927","14340713"
"20101119T","2.0107","2.0913","1.98","2.066","17253891"
"20101122T","2.1047","2.23","2.1","2.2267","22942819"
"20101123T","2.2193","2.3787","2.146","2.3047","23666538"
"20101124T","2.3513","2.398","2.2889","2.3647","21374374"
"20101126T","2.3733","2.4","2.3167","2.3547","5258307"
"20101129T","2.3608","2.3967","2.222","2.2887","17183136"
"20101130T","2.2493","2.3553","2.2273","2.3553","33338353"
"20101201T","2.3913","2.428","2.23","2.29","19478855"
"20101202T","2.2673","2.2865","2.08","2.1567","30102390"
"20101203T","2.134","2.15","2.058","2.0993","17400891"
"20101206T","2.09","2.0967","1.9707","2.0207","19108115"
"20101207T","2.0327","2.16","2.0033","2.104","19657370"
"20101208T","2.1653","2.166","2.1013","2.158","9899695"
"20101209T","2.1673","2.1813","2.11","2.1367","6089742"
"20101210T","2.1367","2.1947","2.0753","2.1013","6440712"
"20101213T","2.1093","2.118","2.0267","2.0367","6154962"
"20101214T","2.0193","2.026","1.8507","1.902","26480762"
"20101215T","1.9113","1.998","1.902","1.9733","11143494"
"20101216T","2.0","2.0607","1.9767","2.054","11849544"
"20101217T","2.0893","2.1027","2.0473","2.0907","12179139"
"20101220T","2.1093","2.146","2.084","2.1133","7849796"
"20101221T","2.12","2.1793","2.114","2.1507","11665164"
"20101222T","2.15","2.1907","2.1133","2.1753","12498834"
"20101223T","2.084","2.1653","1.9947","2.006","23286363"
"20101227T","1.868","1.9053","1.6707","1.7033","139519865"
"20101228T","1.7233","1.7833","1.6667","1.7607","60835545"
"20101229T","1.802","1.8673","1.7667","1.8487","49786925"
"20101230T","1.8467","1.86","1.7587","1.7667","30614490"
"20101231T","1.7713","1.8167","1.7667","1.7753","21265294"
"20110103T","1.7893","1.8","1.7267","1.7747","19243550"
"20110104T","1.7773","1.7967","1.7347","1.778","17810556"
"20110105T","1.7653","1.7933","1.746","1.7887","21698524"
"20110106T","1.7887","1.8667","1.7873","1.8587","30916740"
"20110107T","1.8667","1.9053","1.86","1.8827","33710083"
"20110110T","1.878","1.912","1.87","1.8967","20139170"
"20110111T","1.906","1.914","1.7947","1.7973","25565462"
"20110112T","1.8007","1.8266","1.768","1.7973","14464823"
"20110113T","1.7973","1.798","1.744","1.748","10851325"
"20110114T","1.7433","1.772","1.7073","1.7167","17878806"
"20110118T","1.6987","1.7093","1.65","1.7093","24302553"
"20110119T","1.6847","1.698","1.5833","1.602","35556192"
"20110120T","1.602","1.63","1.4913","1.508","34197853"
"20110121T","1.5413","1.5727","1.514","1.536","18250056"
"20110124T","1.5687","1.654","1.5487","1.6327","24672408"
"20110125T","1.6433","1.6593","1.6013","1.6453","19071845"
"20110126T","1.6473","1.6587","1.6067","1.65","16197997"
"20110127T","1.6493","1.672","1.6353","1.6613","13434818"
"20110128T","1.6587","1.6587","1.5833","1.6007","15724657"
"20110131T","1.6033","1.608","1.5667","1.6067","12453204"
"20110201T","1.6207","1.6487","1.5693","1.594","10616860"
"20110202T","1.6107","1.612","1.5779","1.596","8542076"
"20110203T","1.588","1.5933","1.5433","1.5753","7639751"
"20110204T","1.5627","1.578","1.548","1.564","8158751"
"20110207T","1.5507","1.5507","1.5253","1.538","13425158"
"20110208T","1.5853","1.6833","1.5333","1.6327","52573219"
"20110209T","1.6087","1.612","1.5193","1.5473","39533410"
"20110210T","1.5507","1.576","1.5207","1.5477","12540294"
"20110211T","1.55","1.5833","1.5293","1.55","9517075"
"20110214T","1.576","1.6093","1.5367","1.5387","19245050"
"20110215T","1.534","1.5447","1.504","1.5227","14173043"
"20110216T","1.54","1.6647","1.538","1.6487","61693559"
"20110217T","1.642","1.6993","1.57","1.5733","39272290"
"20110218T","1.5553","1.566","1.5307","1.5453","35559282"
"20110222T","1.5253","1.5333","1.452","1.458","30968085"
"20110223T","1.4787","1.5","1.4073","1.4553","24082608"
"20110224T","1.452","1.5053","1.4333","1.502","15828742"
"20110225T","1.5207","1.59","1.5127","1.574","20193845"
