"Date","Open","High","Low","Close","Volume"
"10/07/2024","249","249.83","240.7","240.83","67,394,848"
"10/04/2024","246.69","250.96","244.58","250.08","86,726,290"
"10/03/2024","244.48","249.79","237.81","240.66","80,729,240"
"10/02/2024","247.55","251.1585","241.5","249.02","93,983,930"
"10/01/2024","262.67","263.98","248.53","258.02","87,397,610"
"09/30/2024","259.04","264.86","255.77","261.63","80,873,380"
"09/27/2024","257.375","260.6999","254.12","260.46","70,988,070"
"09/26/2024","260.6","261.75","251.53","254.22","67,142,190"
"09/25/2024","252.54","257.05","252.28","257.02","65,034,320"
"09/24/2024","254.08","257.19","249.0501","254.27","88,491,000"
"09/23/2024","242.61","250","241.92","250","86,927,190"
"09/20/2024","241.52","243.99","235.92","238.25","99,879,070"
"09/19/2024","234","244.24","232.13","243.92","102,694,600"
"09/18/2024","230.09","235.68","226.88","227.2","78,010,200"
"09/17/2024","229.45","234.57","226.5533","227.87","66,761,640"
"09/16/2024","229.3","229.96","223.53","226.78","54,323,000"
"09/13/2024","228","232.67","226.32","230.29","59,515,110"
"09/12/2024","224.66","231.45","223.83","229.81","72,020,040"
"09/11/2024","224.55","228.47","216.8003","228.13","83,548,630"
"09/10/2024","220.07","226.4","218.6377","226.17","78,891,140"
"09/09/2024","216.2","219.87","213.67","216.27","67,443,520"
"09/06/2024","232.6","233.6","210.51","210.73","112,177,000"
"09/05/2024","223.49","235","222.25","230.17","119,355,000"
"09/04/2024","210.59","222.22","210.57","219.41","80,651,770"
"09/03/2024","215.26","219.9043","209.64","210.6","76,714,220"
"08/30/2024","208.63","214.5701","207.03","214.11","63,370,610"
"08/29/2024","209.8","214.89","205.97","206.28","62,308,820"
"08/28/2024","209.72","211.84","202.59","205.75","64,116,350"
"08/27/2024","213.25","215.66","206.94","209.21","62,821,390"
"08/26/2024","218.75","219.09","211.01","213.21","59,301,190"
"08/23/2024","214.455","221.48","214.21","220.32","81,525,210"
"08/22/2024","223.82","224.8","210.32","210.66","79,514,480"
"08/21/2024","222.67","224.6594","218.86","223.27","70,145,960"
"08/20/2024","224.88","228.22","219.56","221.1","74,001,180"
"08/19/2024","217.07","222.98","214.09","222.72","76,435,220"
"08/16/2024","211.15","219.8","210.8","216.12","88,765,120"
"08/15/2024","205.02","215.88","204.82","214.14","89,848,530"
"08/14/2024","207.39","208.44","198.75","201.38","70,250,010"
"08/13/2024","198.47","208.49","197.06","207.83","76,247,390"
"08/12/2024","199.02","199.26","194.67","197.49","64,044,900"
"08/09/2024","197.05","200.88","195.11","200","58,648,270"
"08/08/2024","195.7","200.7","192.04","198.84","65,033,870"
"08/07/2024","200.77","203.49","191.48","191.76","71,159,780"
"08/06/2024","200.75","202.9","192.67","200.64","73,783,940"
"08/05/2024","185.22","203.8799","182","198.88","100,308,800"
"08/02/2024","214.88","216.13","205.78","207.67","82,880,120"
"08/01/2024","227.69","231.867","214.3328","216.86","83,861,900"
"07/31/2024","227.9","234.68","226.7875","232.07","67,497,010"
"07/30/2024","232.25","232.41","220","222.62","100,560,300"
"07/29/2024","224.9","234.27","224.7","232.1","129,201,800"
"07/26/2024","221.19","222.2799","215.33","219.8","94,604,150"
"07/25/2024","216.8","226","216.231","220.25","100,636,500"
"07/24/2024","225.42","225.99","214.71","215.99","167,942,900"
"07/23/2024","253.6","255.7594","245.63","246.38","111,928,200"
"07/22/2024","244.21","253.21","243.75","251.51","101,225,400"
"07/19/2024","247.79","249.44","236.83","239.2","87,403,900"
"07/18/2024","251.09","257.14","247.2","249.23","110,869,000"
"07/17/2024","252.73","258.47","246.182","248.5","115,584,800"
"07/16/2024","255.31","258.62","245.8001","256.56","126,332,500"
"07/15/2024","255.97","265.6","251.73","252.64","146,912,900"
"07/12/2024","235.8","251.84","233.0912","248.23","155,955,800"
"07/11/2024","263.3","271","239.65","241.03","221,707,300"
"07/10/2024","262.8","267.59","257.86","263.26","128,519,400"
"07/09/2024","251","265.61","250.3","262.33","160,742,500"
"07/08/2024","247.71","259.439","244.57","252.94","157,219,600"
"07/05/2024","249.81","252.37","242.4601","251.52","154,501,200"
"07/03/2024","234.56","248.35","234.25","246.39","166,561,500"
"07/02/2024","218.89","231.3","218.06","231.26","205,047,900"
"07/01/2024","201.02","213.23","200.85","209.86","135,691,400"
"06/28/2024","199.55","203.2","195.26","197.88","95,438,070"
"06/27/2024","195.17","198.72","194.05","197.42","72,746,520"
"06/26/2024","186.54","197.755","186.36","196.37","95,737,070"
"06/25/2024","184.4","187.97","182.01","187.35","63,678,270"
"06/24/2024","184.97","188.8","182.55","182.58","61,992,070"
"06/21/2024","182.3","183.95","180.69","183.01","63,029,480"
"06/20/2024","184.68","185.21","179.66","181.57","55,893,140"
"06/18/2024","186.56","187.2","182.37","184.86","68,982,270"
"06/17/2024","177.92","188.81","177","187.44","109,786,100"
"06/14/2024","185.8","186","176.92","178.01","82,038,190"
