"Date","Open","High","Low","Close","Volume"
"2010-06-29","1.2667","1.6667","1.1693","1.5927","281267109"
"2010-06-30","1.7193","2.0279","1.5533","1.5887","257478021"
"2010-07-01","1.6667","1.7280","1.3513","1.4640","123251773"
"2010-07-02","1.5333","1.5400","1.2473","1.2800","77036886"
"2010-07-06","1.3333","1.3333","1.0553","1.0740","102871329"
"2010-07-07","1.0933","1.1087","0.9987","1.0533","103660433"
"2010-07-08","1.0760","1.1680","1.0380","1.1640","115663997"
"2010-07-09","1.1720","1.1933","1.1033","1.1600","60728025"
"2010-07-12","1.1967","1.2047","1.1333","1.1367","32983034"
"2010-07-13","1.1596","1.2427","1.1267","1.2093","40125880"
"2010-07-14","1.1960","1.3433","1.1840","1.3227","62898119"
"2010-07-15","1.3293","1.4333","1.2667","1.3260","56122862"
"2010-07-16","1.3800","1.4200","1.3367","1.3760","39301630"
"2010-07-19","1.4247","1.4833","1.3947","1.4607","37240181"
"2010-07-20","1.4567","1.4567","1.3367","1.3533","27362296"
"2010-07-21","1.3773","1.3933","1.3000","1.3480","18772371"
"2010-07-22","1.3667","1.4167","1.3580","1.4000","14359058"
"2010-07-23","1.4127","1.4373","1.4040","1.4193","9803230"
"2010-07-26","1.4333","1.4333","1.3533","1.3967","13832663"
"2010-07-27","1.3940","1.4120","1.3507","1.3700","9295120"
"2010-07-28","1.3700","1.3933","1.3673","1.3813","7007741"
"2010-07-29","1.3847","1.3920","1.3333","1.3567","9238645"
"2010-07-30","1.3467","1.3627","1.3033","1.3293","6402447"
"2010-08-02","1.3667","1.3980","1.3555","1.3947","10773670"
"2010-08-03","1.4000","1.4633","1.3880","1.4633","18455226"
"2010-08-04","1.4633","1.4787","1.3900","1.4173","13687883"
"2010-08-05","1.4360","1.4367","1.3367","1.3633","11942694"
"2010-08-06","1.3400","1.3440","1.3013","1.3060","11127564"
"2010-08-09","1.3267","1.3320","1.2967","1.3067","12189834"
"2010-08-10","1.3100","1.3100","1.2547","1.2687","19219280"
"2010-08-11","1.2460","1.2587","1.1900","1.1933","11935674"
"2010-08-12","1.1867","1.1933","1.1593","1.1733","10353610"
"2010-08-13","1.2120","1.2300","1.1774","1.2213","9508060"
"2010-08-16","1.2300","1.2533","1.2174","1.2520","7285661"
"2010-08-17","1.2640","1.2933","1.2520","1.2767","6718212"
"2010-08-18","1.3060","1.3060","1.2400","1.2513","8995976"
"2010-08-19","1.2360","1.2833","1.2220","1.2527","8686226"
"2010-08-20","1.2433","1.2740","1.2340","1.2733","4433983"
"2010-08-23","1.2727","1.3593","1.2667","1.3420","16320427"
"2010-08-24","1.2833","1.3140","1.2633","1.2800","10094605"
"2010-08-25","1.2773","1.3320","1.2373","1.3267","7549331"
"2010-08-26","1.3260","1.3513","1.3067","1.3167","6499287"
"2010-08-27","1.3167","1.3243","1.3000","1.3133","5693127"
"2010-08-30","1.3133","1.3460","1.3073","1.3247","10989460"
"2010-08-31","1.3107","1.3193","1.2887","1.2987","3015178"
"2010-09-01","1.3080","1.3793","1.3067","1.3633","7423271"
"2010-09-02","1.3580","1.4160","1.3540","1.4040","7305896"
"2010-09-03","1.3913","1.4200","1.3773","1.4033","6518337"
"2010-09-07","1.3740","1.4000","1.3667","1.3693","3650023"
"2010-09-08","1.3773","1.3967","1.3733","1.3933","4325728"
"2010-09-09","1.4000","1.4033","1.3793","1.3807","5642952"
"2010-09-10","1.3833","1.3953","1.3173","1.3447","5798562"
"2010-09-13","1.3927","1.3933","1.3667","1.3813","5410542"
"2010-09-14","1.3693","1.4400","1.3687","1.4080","9819430"
"2010-09-15","1.3987","1.4667","1.3860","1.4653","10268365"
"2010-09-16","1.4767","1.5440","1.3893","1.3960","40261180"
"2010-09-17","1.4013","1.4213","1.3200","1.3487","17976861"
"2010-09-20","1.3780","1.4233","1.3440","1.4037","14212118"
"2010-09-21","1.3927","1.4367","1.3780","1.3847","11939994"
"2010-09-22","1.3913","1.3967","1.3200","1.3247","14442233"
"2010-09-23","1.3260","1.3427","1.3000","1.3040","10021135"
"2010-09-24","1.3300","1.3460","1.3100","1.3400","8683301"
"2010-09-27","1.3600","1.3873","1.3367","1.3687","6244452"
"2010-09-28","1.4027","1.4327","1.3840","1.4267","18216966"
"2010-09-29","1.4127","1.4687","1.4087","1.4653","29536440"
"2010-09-30","1.4667","1.4767","1.3460","1.3603","31163039"
"2010-10-01","1.3793","1.3833","1.3540","1.3733","8964611"
"2010-10-04","1.3620","1.4113","1.3533","1.3993","9653980"
"2010-10-05","1.4100","1.4187","1.4007","1.4080","4979038"
"2010-10-06","1.4040","1.4172","1.3547","1.3640","4700353"
"2010-10-07","1.3713","1.3760","1.3560","1.3620","2113799"
"2010-10-08","1.3620","1.3860","1.3593","1.3620","3995983"
"2010-10-11","1.3627","1.3799","1.3380","1.3493","2564909"
"2010-10-12","1.3467","1.3522","1.3353","1.3493","3658678"
"2010-10-13","1.3760","1.3900","1.3573","1.3693","4728883"
"2010-10-14","1.4000","1.4020","1.3600","1.3833","4419298"
"2010-10-15","1.3927","1.3933","1.3500","1.3693","4269673"
"2010-10-18","1.3680","1.3760","1.3480","1.3487","2440934"
"2010-10-19","1.3467","1.3604","1.3333","1.3367","3676903"
"2010-10-20","1.3440","1.3793","1.3360","1.3767","4686658"
"2010-10-21","1.3740","1.3967","1.3633","1.3833","6248982"
"2010-10-22","1.3787","1.3953","1.3700","1.3813","2415314"
"2010-10-25","1.3960","1.3987","1.3820","1.3900","1776209"
"2010-10-26","1.3867","1.4580","1.3673","1.4240","9912610"
"2010-10-27","1.4167","1.4253","1.3767","1.4000","5347497"
"2010-10-28","1.4260","1.4333","1.3973","1.4127","3362848"
"2010-10-29","1.4093","1.4567","1.4035","1.4560","4207978"
"2010-11-01","1.4627","1.5167","1.4207","1.4273","6829257"
"2010-11-02","1.4453","1.4586","1.4033","1.4167","4836973"
"2010-11-03","1.4187","1.5000","1.4107","1.4513","5588982"
"2010-11-04","1.5067","1.6887","1.4767","1.6600","28100356"
"2010-11-05","1.6580","1.6647","1.5813","1.6293","15164182"
"2010-11-08","1.6333","1.6667","1.6020","1.6653","7640621"
